,RS avg,RS std,LS avg,LS std,SA avg,SA std,GA avg,GA std,Instance
0,98847.6,626.8073388211086,88356.6,3749.23648760651,129364.2,1038.2243302870534,130484.0,2392.2352309085327,Instances/big/N-r100a2
1,99018.2,1224.5661925759669,88446.0,3956.8547104992367,128202.5,1399.8526529603034,129208.9,2521.0415883122596,Instances/big/N-r100b2
2,98307.6,1244.4333007437563,85249.9,2526.581146529832,126589.1,1150.452993389995,127343.1,2252.890430091974,Instances/big/N-r100c2
3,98990.1,1342.1407862068718,88197.2,4433.446532890636,127461.8,1363.1392298661206,128054.8,2489.1331342457356,Instances/big/N-r100d2
4,102256.5,1452.8894830646962,86679.3,2584.9483573178013,133217.7,1391.459812570956,133455.2,1293.552611995353,Instances/big/N-r100e2
5,229321.5,1863.4146747302384,196464.8,7344.984680719219,334664.1,2362.177743100633,305937.1,3722.4220461951923,Instances/big/N-r150a0
6,227635.0,2272.686075990259,202201.6,5301.521521223884,324144.1,2013.664741211903,297081.2,5988.752504487057,Instances/big/N-r150a1
7,233931.6,2650.2937271178075,202677.4,7177.892256087437,341636.9,2081.390902737878,310775.5,5980.8482383354285,Instances/big/N-r150b0
8,227828.4,2311.8253913304093,198351.0,7269.561623646917,321098.8,2435.053707826585,296265.7,2273.4958126198517,Instances/big/N-r150b1
9,232901.9,2814.7550319699226,198316.0,7245.1531108735035,337154.7,2291.4944490441167,309909.9,2920.445666332452,Instances/big/N-r150c0
10,226613.1,2456.9976577115413,196471.1,7082.316830670597,320478.6,1558.9251553554457,297023.1,2907.441227264964,Instances/big/N-r150c1
11,231402.3,2594.0925600294217,199304.1,10850.588614909331,336253.5,1534.528282567643,308256.2,4960.104188421852,Instances/big/N-r150d0
12,228861.7,3162.3082092041564,201499.8,7705.970825275684,321098.4,1990.1481954869591,298718.0,4496.721894891878,Instances/big/N-r150d1
13,232496.8,2216.775938158839,205266.2,8036.118612862804,340508.6,1262.8694469342427,309878.1,4863.547027633228,Instances/big/N-r150e0
14,229565.4,1748.005446215772,196975.7,9576.74921933325,325193.3,2046.1778539511174,298049.0,2452.5269417480413,Instances/big/N-r150e1
15,408175.1,4053.49494757302,354130.9,18979.512061430873,615269.2,3192.136112386187,533163.3,7797.468948960296,Instances/big/N-r200a0
16,395646.0,2766.554572026368,344172.4,9499.56896074764,576447.2,2623.941988688012,505681.8,7526.356074489168,Instances/big/N-r200a1
17,406343.0,4008.572913145026,353479.6,12310.359427734025,611567.6,2202.1430107965284,527257.4,11548.69886350839,Instances/big/N-r200b0
18,400816.9,2829.262711379062,351210.4,15227.882959886447,582371.2,3792.544180362307,508936.6,7722.774840690358,Instances/big/N-r200b1
19,409745.2,4387.611555276971,363535.8,9723.851971312602,619080.7,2585.8110159097087,535222.4,8397.782626384182,Instances/big/N-r200c0
20,392402.0,4145.156450605936,344672.4,13204.446510172247,572493.4,3605.1335675672267,504459.2,4066.116668272075,Instances/big/N-r200c1
21,411641.9,5790.218466517476,354034.5,10933.94607861224,615455.7,1937.9907662318724,527677.4,7929.867618062737,Instances/big/N-r200d0
22,395750.2,2971.4827544510504,347961.7,11142.376784600312,580123.5,2110.7238687237136,512506.9,5849.513166922527,Instances/big/N-r200d1
23,400589.6,2703.4735508230888,356586.4,9149.720478790596,605090.8,3136.1711943068412,524798.5,11900.72916463525,Instances/big/N-r200e0
24,390818.4,2661.1050035652484,341913.8,14547.756801651587,574512.8,2099.41467080708,500623.8,8082.3778159648045,Instances/big/N-r200e1
25,629951.5,5901.707180977382,565869.6,19620.82908136147,962477.2,5446.47529692369,799262.1,7726.54091363011,Instances/big/N-r250a0
26,623043.9,6716.771254851545,555233.9,23367.771457501032,956979.3,2767.9466775933383,792808.6,15045.124985855053,Instances/big/N-r250b0
27,622739.5,6857.476288693968,554445.0,21787.112791739983,957010.3,3829.298579374557,792773.4,15175.598230053401,Instances/big/N-r250c0
28,624246.0,3190.0252977053333,549742.7,18474.73238263548,960731.3,2883.086160696555,801304.6,7121.081900947355,Instances/big/N-r250d0
29,622793.3,7160.213684660535,538601.0,13668.904184315581,954043.1,2575.7246145502436,793886.9,9614.307998498904,Instances/big/N-r250e0
